日期,收盘,开盘,高,低,交易量,涨跌幅
2021年7月30日,92.188,91.895,92.215,91.78,22.39K,0.35%
2021年7月29日,91.871,92.255,92.29,91.85,23.57K,-0.48%
2021年7月28日,92.317,92.46,92.785,92.235,28.21K,-0.13%
2021年7月27日,92.436,92.625,92.845,92.32,21.09K,-0.23%
2021年7月26日,92.651,92.915,92.975,92.54,17.46K,-0.30%
2021年7月23日,92.928,92.85,93.04,92.785,12.47K,0.11%
2021年7月22日,92.83,92.81,92.93,92.505,23.39K,0.08%
2021年7月21日,92.759,92.97,93.195,92.73,18.58K,-0.24%
2021年7月20日,92.979,92.875,93.18,92.805,17.81K,0.09%
2021年7月19日,92.9,92.7,93.05,92.63,24.20K,0.23%
2021年7月16日,92.687,92.585,92.76,92.53,15.02K,0.06%
2021年7月15日,92.631,92.405,92.695,92.275,16.28K,0.24%
2021年7月14日,92.405,92.795,92.835,92.345,19.38K,-0.38%
2021年7月13日,92.759,92.205,92.81,92.135,22.01K,0.55%
2021年7月12日,92.256,92.14,92.42,92.075,10.54K,0.15%
2021年7月9日,92.116,92.38,92.545,92.085,14.47K,-0.31%
2021年7月8日,92.406,92.705,92.79,92.24,23.11K,-0.26%
2021年7月7日,92.645,92.54,92.84,92.415,23.69K,0.11%
2021年7月6日,92.543,92.255,92.655,91.995,24.70K,0.14%
2021年7月5日,92.413,92.25,92.355,92.135,11.02K,0.00%
2021年7月2日,92.413,92.575,92.76,92.17,24.56K,-0.20%
2021年7月1日,92.594,92.355,92.6,92.255,20.84K,0.18%
2021年6月30日,92.431,92.07,92.44,92,17.12K,0.42%
2021年6月29日,92.041,91.87,92.195,91.85,14.08K,0.18%
2021年6月28日,91.876,91.82,92.01,91.685,14.04K,0.03%
2021年6月25日,91.844,91.83,91.865,91.52,16.64K,0.05%
2021年6月24日,91.795,91.805,91.915,91.645,11.98K,0.01%
2021年6月23日,91.785,91.735,91.895,91.505,18.70K,0.04%
2021年6月22日,91.751,91.89,92.135,91.645,17.33K,-0.14%
2021年6月21日,91.881,92.28,92.36,91.82,20.05K,-0.36%
2021年6月18日,92.209,91.86,92.395,91.805,26.12K,0.37%
2021年6月17日,91.873,91.375,91.995,91.285,48.18K,0.73%
2021年6月16日,91.208,90.49,91.385,90.41,46.86K,0.78%
2021年6月15日,90.502,90.47,90.64,90.31,13.54K,0.03%
2021年6月14日,90.475,90.485,90.565,90.485,0.06K,-0.08%
2021年6月11日,90.55,90.06,90.61,89.96,9.62K,0.52%
2021年6月10日,90.078,90.15,90.325,89.99,24.15K,-0.05%
2021年6月9日,90.121,90.135,90.17,89.83,25.27K,0.05%
2021年6月8日,90.076,89.995,90.175,89.95,22.33K,0.14%
2021年6月7日,89.946,90.15,90.3,89.905,31.86K,-0.21%
2021年6月4日,90.133,90.49,90.625,90.015,24.47K,-0.41%
2021年6月3日,90.501,89.905,90.555,89.88,31.50K,0.67%
2021年6月2日,89.901,89.91,90.235,89.855,16.37K,0.09%
2021年6月1日,89.819,89.795,89.94,89.65,20.19K,-0.19%
